,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
28,BANKNIFTY30JUL2022100CE,28-07-2020 09:29,142.4,28-07-2020 10:16,299.75
29,BANKNIFTY30JUL2022100PE,28-07-2020 09:29,581.8,28-07-2020 10:16,348.45
30,BANKNIFTY30JUL2022300CE,29-07-2020 09:29,214.35,29-07-2020 13:25,240.8
31,BANKNIFTY30JUL2022300PE,29-07-2020 09:29,207.3,29-07-2020 13:25,233
32,BANKNIFTY30JUL2022200CE,30-07-2020 09:29,118.1,30-07-2020 10:33,125
33,BANKNIFTY30JUL2022200PE,30-07-2020 09:29,110.7,30-07-2020 10:33,132.2
34,BANKNIFTY06AUG2021600CE,31-07-2020 09:29,434.25,31-07-2020 15:03,445
35,BANKNIFTY06AUG2021600PE,31-07-2020 09:29,345.7,31-07-2020 15:03,422.4
36,BANKNIFTY06AUG2021400CE,03-08-2020 09:29,236.95,03-08-2020 15:24,337
37,BANKNIFTY06AUG2021400PE,03-08-2020 09:29,463.15,03-08-2020 15:24,380.35
38,BANKNIFTY06AUG2021200CE,04-08-2020 09:29,456,04-08-2020 15:24,297.4
39,BANKNIFTY06AUG2021200PE,04-08-2020 09:29,127.9,04-08-2020 15:24,326.15
40,BANKNIFTY06AUG2021800CE,05-08-2020 09:29,323.7,05-08-2020 09:53,191.45
41,BANKNIFTY06AUG2021800PE,05-08-2020 09:29,165.35,05-08-2020 09:53,244.5
42,BANKNIFTY06AUG2021600CE,06-08-2020 09:29,144.6,06-08-2020 11:47,178.15
43,BANKNIFTY06AUG2021600PE,06-08-2020 09:29,257.05,06-08-2020 11:47,186.7
44,BANKNIFTY13AUG2021500CE,07-08-2020 09:29,481.05,07-08-2020 15:24,369.25
45,BANKNIFTY13AUG2021500PE,07-08-2020 09:29,224.65,07-08-2020 15:24,397.4
46,BANKNIFTY13AUG2022000CE,10-08-2020 09:29,287.5,10-08-2020 15:24,325.95
47,BANKNIFTY13AUG2022000PE,10-08-2020 09:29,317.35,10-08-2020 15:24,309.95
48,BANKNIFTY13AUG2022200CE,11-08-2020 09:29,209.9,11-08-2020 13:57,268
49,BANKNIFTY13AUG2022200PE,11-08-2020 09:29,252,11-08-2020 13:57,247.95
50,BANKNIFTY13AUG2022100CE,12-08-2020 09:29,335.4,12-08-2020 12:55,189.1
51,BANKNIFTY13AUG2022100PE,12-08-2020 09:29,88.9,12-08-2020 12:55,196.4
52,BANKNIFTY13AUG2022400CE,13-08-2020 09:29,98.45,13-08-2020 10:34,106.6
53,BANKNIFTY13AUG2022400PE,13-08-2020 09:29,98.4,13-08-2020 10:34,112.6
54,BANKNIFTY20AUG2022200CE,14-08-2020 09:29,202.3,14-08-2020 13:47,334
55,BANKNIFTY20AUG2022200PE,14-08-2020 09:29,498.85,14-08-2020 13:47,285.65
56,BANKNIFTY20AUG2021800CE,17-08-2020 09:29,230.2,17-08-2020 09:40,259.7
57,BANKNIFTY20AUG2021800PE,17-08-2020 09:29,458,17-08-2020 09:40,311
58,BANKNIFTY20AUG2021800CE,18-08-2020 09:29,457,18-08-2020 14:48,235.65
59,BANKNIFTY20AUG2021800PE,18-08-2020 09:29,94.85,18-08-2020 14:48,262.05
60,BANKNIFTY20AUG2022400CE,19-08-2020 09:29,148.3,19-08-2020 14:21,158.65
61,BANKNIFTY20AUG2022400PE,19-08-2020 09:29,176,19-08-2020 14:21,201.75
62,BANKNIFTY20AUG2022000CE,20-08-2020 09:29,108.75,20-08-2020 10:36,97.85
63,BANKNIFTY20AUG2022000PE,20-08-2020 09:29,79.7,20-08-2020 10:36,113.05
64,BANKNIFTY27AUG2022200CE,21-08-2020 09:29,331.1,21-08-2020 15:24,320.25
65,BANKNIFTY27AUG2022200PE,21-08-2020 09:29,232.4,21-08-2020 15:24,282.15
66,BANKNIFTY27AUG2022600CE,24-08-2020 09:29,346.75,24-08-2020 11:55,227.7
67,BANKNIFTY27AUG2022600PE,24-08-2020 09:29,200.7,24-08-2020 11:55,254
68,BANKNIFTY27AUG2023100CE,25-08-2020 09:29,186.35,25-08-2020 13:17,214.2
69,BANKNIFTY27AUG2023100PE,25-08-2020 09:29,218.85,25-08-2020 13:17,243.2
70,BANKNIFTY27AUG2023200CE,26-08-2020 09:29,178.85,26-08-2020 13:02,197.9
71,BANKNIFTY27AUG2023200PE,26-08-2020 09:29,165.25,26-08-2020 13:02,186
72,BANKNIFTY27AUG2023600CE,27-08-2020 09:29,95.55,27-08-2020 10:02,117.3
73,BANKNIFTY27AUG2023600PE,27-08-2020 09:29,89.4,27-08-2020 10:02,88.85
74,BANKNIFTY03SEP2023800CE,28-08-2020 09:29,529.6,28-08-2020 10:31,333.35
